"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"179","Wonderwerk","Pta-3366",8000,80,"",-27.846,23.555,"eggshell"
"180","Nswatugi Cave","Pta-2046",7880,70,"",-20.533,28.467,"charcoal"
"181","Cave James","Wits-1743",7840,170,"",-25.683,27.983,""
"182","Pomongwe Cave","SR-13",7690,140,"",-20.533,28.5,"other"
"183","Belleview","Pta-359",7670,50,"",-29.999,29.058,"charcoal"
"184","Good Hope Shelter","Pta-1480 ",7670,55,"Wilton",-29.656,29.427,"charcoal"
"185","Rose Cottage Cave","Pta-6783",7630,80,"Wilton",-29.25,27.5,"charcoal"
"186","Pomongwe Cave","SR-14",7610,110,"",-20.533,28.5,"charcoal"
"187","Siphiso","Pta-3533",7600,80,"Oakhurst",-26.3,31.967,"bone"
"188","Waterfall Bluff","IT-C-2324",7556,41,"",-31.434,29.824,"charcoal"
"189","Waterfall Bluff","BETA-442149",7550,30,"",-31.434,29.824,"charcoal"
"190","Waterfall Bluff","IT-C-2323",7514,52,"",-31.434,29.824,"charcoal"
"191","Kruger Cave","KRU-6",7500,60,"Oakhurst",-25.75,27.25,""
"192","Equus Cave","Pta-2495",7480,80,"",-27.617,24.633,"eggshell"
"193","Little Witkrans","Pta-2490",7470,70,"",-27.661,24.613,"charcoal"
"194","Maqonqo Shelter","Pta-6260 ",7460,140,"Wilton",-28.344,30.424,"charcoal"
"195","Wonderwerk","Pta-2798",7430,60,"",-27.846,23.555,"charcoal"
"196","Waterfall Bluff","BETA-442148",7380,30,"",-31.434,29.824,"charcoal"
"197","Balerno Main Shelter","Pta-8591",7350,80,"",-22.265,29.188,"eggshell"
"198","Waterfall Bluff","IT-C-2326",7349,49,"",-31.434,29.824,"charcoal"
"199","Siphiso","TX-5627",7300,100,"Wilton",-26.3,31.967,"snail"
"200","Apollo 11 Cave","Pta-1020",7280,80,"Wilton",-27.75,17.1,"charcoal"
"201","Waterfall Bluff","IT-C-2325",7261,40,"",-31.434,29.824,"charcoal"
"202","Liphofung","Pta-6113",7230,140,"",-28.753,28.496,"bone"
"203","Tloutle","Pta-5171",7230,80,"Wilton",-29.467,27.767,"charcoal"
"204","Sehonghong","Pta-6072 ",7210,80,"Oakhurst",-29.75,28.75,""
"205","Apollo 11 Cave","KN-I-867",7200,75,"Wilton",-27.75,17.1,"charcoal"
"206","Heuningsneskrans","Pta-112",7200,70,"Oakhurst",-24.6,30.65,"charred bone"
"207","Sehonghong","Pta-6278 ",7150,80,"Oakhurst",-29.75,28.75,""
"208","Sehonghong","Pta-6280 ",7090,80,"Oakhurst",-29.75,28.75,""
"209","Sehonghong","Pta-6083 ",7010,70,"Oakhurst",-29.75,28.75,""
"210","Pockenbank","KN-I.624",6910,45,"",-27.217,16.517,"charcoal"
"211","Tloutle","Pta-5162 ",6910,80,"Wilton",-29.467,27.767,"charcoal"
"212","Grassridge","Pta-2719",6890,80,"",-31.567,26.85,""
"213","Sehonghong","Q-3174 ",6870,60,"Wilton",-29.75,28.75,""
"214","Siphiso","TX-5626",6860,110,"Wilton",-26.3,31.967,"snail"
"215","Grassridge","Pta-2949",6850,100,"",-31.567,26.85,""
"216","Rose Cottage Cave","GrN-5299",6850,45,"Wilton",-29.25,27.5,"charcoal"
"217","White Paintings Shelter","UGA-6728",6840,40,"",-18.75,21.75,"eggshell"
"218","Wonderwerk","Pta-3425",6840,80,"",-27.846,23.555,"charcoal"
"219","Chicaza","Wk-40714",6793,30,"",-12.89,35.25,"bone"
"220","Txina-Txina","Wk-44419",6791,20,"",-23.893881,31.912163,"Eggshell"
