"","site","lat","lon","Country","Biome","Date","Uncertainty","Technological Complex"
"158","Iron Pig Rock Shelter",-25.959,30.243,"South Africa","",9170,"30",""
"159","Iron Pig Rock Shelter",-25.959,30.243,"South Africa","",10850,"30",""
"160","Jakkalsberg N",-28.181,16.885,"South Africa","Azonal Vegetation",4860,"40","Wilton"
"161","Jakkalsberg N",-28.181,16.885,"South Africa","Azonal Vegetation",4960,"40","Wilton"
"162","Jakkalsberg N",-28.181,16.885,"South Africa","Azonal Vegetation",4500,"50","Wilton"
"163","Jubilee Shelter",-25.683,27.983,"South Africa","Savanna Biome",4090,"80","Wilton"
"164","Havens Cave",-33.667,24.35,"South Africa","Thicket Biome",9790,"90","Oakhurst"
"165","Jubilee Shelter",-25.683,27.983,"South Africa","Savanna Biome",5250,"129","Wilton"
"166","Jubilee Shelter",-25.683,27.983,"South Africa","Savanna Biome",6490,"200","Wilton"
"167","Kabeljous River Shelter",-33.967,24.917,"South Africa","Fynbos Biome",5750,"80","Wilton"
"168","Kangkara Cave",-33.783,23.083,"South Africa","Fynbos Biome",5355,"55","Wilton"
"169","Kangkara Cave",-33.783,23.083,"South Africa","Fynbos Biome",6600,"75","Wilton"
"170","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",9790,"90","Oakhurst"
"171","Heuningsneskrans",-24.6,30.65,"South Africa","Savanna Biome",9780,"85","Oakhurst"
"172","Kasteelberg G",-32.733,17.933,"South Africa","Fynbos Biome",4550,"60",""
"173","Klasies River Cave 5",-34.13,24.43,"South Africa","Fynbos Biome",4110,"105",""
"174","Kruger Cave",-25.75,27.25,"South Africa","Savanna Biome",9780,"110","Oakhurst"
"175","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",9760,"85","Oakhurst"
"176","Koingnaas 2001/008C",-30.222,17.238,"South Africa","Succulent Karoo Biome",4630,"70",""
"177","Sehonghong",-29.75,28.75,"Lesotho","Grassland Biome",9740,"140","Oakhurst"
"178","Kruger Cave",-25.75,27.25,"South Africa","Savanna Biome",10310,"150","Robberg"
"179","Kruger Cave",-25.75,27.25,"South Africa","Savanna Biome",10430,"150","Robberg"
"180","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9690,"120","Oakhurst"
"181","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",9688,"36","Oakhurst"
"182","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9650,"30","Oakhurst"
"183","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",9640,"90","Oakhurst"
"184","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",9610,"170","Oakhurst"
"185","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",9600,"90","Oakhurst"
"186","Kruger Cave",-25.75,27.25,"South Africa","Savanna Biome",9590,"130","Oakhurst"
"187","Bushman Rock  Shelter",-24.583,30.633,"South Africa","Savanna Biome",9570,"55","Oakhurst"
"188","Kruger Cave",-25.75,27.25,"South Africa","Savanna Biome",10150,"90","Robberg"
"189","Kruger Cave",-25.75,27.25,"South Africa","Savanna Biome",9100,"90",""
"190","Leliehoek",-29.117,27.25,"South Africa","Grassland Biome",4860,"100","Wilton"
"191","Leliehoek",-29.117,27.25,"South Africa","Grassland Biome",5210,"100","Wilton"
"192","Lion Cavern",-26.2,31.033,"Swaziland","Grassland Biome",9640,"80",""
"193","Liphofung",-28.753,28.496,"Lesotho","Grassland Biome",4390,"70",""
"194","Liphofung",-28.753,28.496,"Lesotho","Grassland Biome",7230,"140",""
"195","Lithakong",-29.457,28.101,"Lesotho","Grassland Biome",4790,"50",""
"196","Little Witkrans",-27.661,24.613,"South Africa","Savanna Biome",4710,"65",""
"197","Little Witkrans",-27.661,24.613,"South Africa","Savanna Biome",7470,"70",""
"198","Malkoppan",-32.134,18.309,"South Africa","Fynbos Biome",4230,"60",""
"199","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",4790,"60","Wilton"
"200","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",4300,"20","Wilton"
"201","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",4080,"25","Wilton"
"202","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",4640,"70","Wilton"
"203","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",5680,"70","Wilton"
"204","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",4960,"70","Wilton"
"205","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",4140,"60","Wilton"
"206","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",6300,"80","Wilton"
"207","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",8670,"140","Wilton"
"208","Maqonqo Shelter",-28.344,30.424,"South Africa","Grassland Biome",7460,"140","Wilton"
"209","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",7050,"45","Wilton"
"210","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",7750,"300","Wilton"
"211","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",5400,"250","Wilton"
"212","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9570,"30","Oakhurst"
"213","Siphiso",-26.3,31.967,"Swaziland","Savanna Biome",9570,"450","Oakhurst"
"214","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",7295,"32","Wilton"
"215","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9560,"45","Oakhurst"
"216","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9530,"30","Oakhurst"
