"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"125","Maqonqo Shelter","Pta-6255 ",4960,70,"Wilton",-28.344,30.424,"charcoal",2
"126","Diamond Shelter","Pta-3246",4900,60,"Wilton",-28.492,28.948,"charcoal",3
"127","Oakhurst","Pta-4467",4900,60,"",-33.933,22.617,"bone",1
"128","Wonderwerk","Pta-2797",4890,70,"",-27.846,23.555,"",2
"129","Wonderwerk","OxA-30639",4887,33,"",-27.846,23.555,"charcoal ",3
"130","Oakhurst","Pta-4347",4880,70,"",-33.933,22.617,"bone",1
"131","Oakhurst","Pta-4348",4880,70,"",-33.933,22.617,"bone",2
"132","Oakhurst","AA-2119",4870,210,"",-33.933,22.617,"bone",3
"133","Jakkalsberg N","GX-32754",4860,40,"Wilton",-28.181,16.885,"eggshell",1
"134","Leliehoek","Wits-2009 ",4860,100,"Wilton",-29.117,27.25,"eggshell",2
"135","Nelson Bay Cave","OxA-32449",4860,45,"Wilton",-34.101,23.378,"bone",3
"136","Nelson Bay Cave","UW-217 ",4860,65,"Wilton",-34.101,23.378,"Marine shell",1
"137","Wilton Large Rock Shelter","I-2565",4860,115,"Wilton",-33.325,26.142,"charcoal",2
"138","Numas Schlucht Cave (Lower Numas Cave)","Pta-1620",4840,50,"Wilton",-21.117,14.417,"eggshell",3
"139","Oakhurst","AA-2115",4830,250,"",-33.933,22.617,"bone",1
"140","Byneskranskop 3","TO-9531",4820,90,"",-34.583,19.467,"bone",2
"141","Deurspring 16","Pta-7131",4800,60,"",-32.006,18.305,"marine shell",3
"142","Lithakong","Pta-7075",4790,50,"",-29.457,28.101,"charcoal",1
"143","Maqonqo Shelter","Pta-5898 ",4790,60,"Wilton",-28.344,30.424,"charcoal",2
"144","Matjies River","Pta-6856 ",4740,50,"Wilton",-34.017,23.417,"charcoal",3
"145","Little Witkrans","Pta-2448",4710,65,"",-27.661,24.613,"charcoal",1
"146","Bonteberg Shelter","SR-167",4690,100,"",-34.2,18.383,"marine shell",2
"147","Matjies River","Pta-6920",4665,20,"Wilton",-34.017,23.417,"marine shell",3
"148","Maqonqo Shelter","Pta-6251 ",4640,70,"Wilton",-28.344,30.424,"charcoal",1
