"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"82","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","4","conventional 14C","charcoal","","Pta-5900 ",4300,20,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"83","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","2","conventional 14C","charcoal","","Pta-6244 ",3560,60,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"84","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","3","conventional 14C","charcoal","","Pta-6245 ",4080,25,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"85","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","4","conventional 14C","charcoal","","Pta-6251 ",4640,70,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"86","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","8","conventional 14C","charcoal","","Pta-6253 ",5680,70,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"87","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","5","conventional 14C","charcoal","","Pta-6255 ",4960,70,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"88","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","6","conventional 14C","charcoal","","Pta-6256 ",4140,60,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"89","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","11","conventional 14C","charcoal","","Pta-6258 ",6300,80,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"90","Maqonqo Shelter","MQQ",-28.344,30.424,"South Africa","Kwazulu-Natal","S","Grassland Biome","14","conventional 14C","charcoal","","Pta-6260 ",7460,140,"LSA","Wilton","","rock shelter",NA,"mazel1996mse",""
"91","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","Layer C","conventional 14C","marine shell","","GrN-5887",7050,45,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"92","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","Layer B","conventional 14C","marine shell","","GrN-5888",3555,35,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"93","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","Layer C","conventional 14C","charcoal","","L-336E",7750,300,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"94","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","Layer C","conventional 14C","","","L-336F",5400,250,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"95","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","AMS","","","OxA-V-2064-52 ",7295,32,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"96","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6691 ",7010,80,"LSA","Wilton","","rock shelter",NA,"dockel1998imr","Forest"
"97","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6811 ",6720,25,"LSA","Wilton","","rock shelter",NA,"dockel1998imr","Forest"
"98","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","marine shell","","Pta-6817 ",7075,25,"LSA","Wilton","","rock shelter",NA,"dockel1998imr","Forest"
"99","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","EE","conventional 14C","charcoal","","Pta-6856 ",4740,50,"LSA","Wilton","","rock shelter",NA,"dockel1998imr","Forest"
"100","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","EE","conventional 14C","marine shell","","Pta-6877 ",4615,20,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"101","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","marine shell","","Pta-6917 ",5720,70,"LSA","Wilton","","rock shelter",NA,"dockel1998imr","Forest"
"102","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","EE","conventional 14C","marine shell","","Pta-6920",4665,20,"LSA","Wilton","","rock shelter",NA,"dockel1998imr","Forest"
"103","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","","","Pta-6975 ",5390,70,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"104","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","","","Pta-6976 ",5370,70,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"105","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","","","Pta-6988",7420,80,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
